sample_token,timestamp,x,y,z,l,w,h,heading,label,vx,vy,vz,in_drivable,occluded,scene_index,ray_hit
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-7.652571902888985,-8.827754237760487,-1.1008329881031726,4.257,1.726,1.489,0.3511787955656807,car,0.6734445593743791,0.2347033552279008,-0.0011466535562721,True,False,2,53.604000000000006
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-16.65508683943429,-8.398857179834248,-0.7828406438837403,4.248,1.71,1.527,-3.13526694104215,car,0.0,0.0,0.0,True,False,2,33.594
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-1.8961078257778792,-5.663048981622689,-1.3367630004007929,4.303,1.771,1.407,1.065084402506705,car,-0.0284185984559893,-0.053449968403895,-0.0011917768396168,True,False,2,75.97800000000001
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-10.250422861466184,-30.74364354444816,-1.3796309329135068,4.502,1.732,1.799,-3.121448720201439,car,-0.1588146082746439,-0.0032013708310936,-0.0002481192436797,True,True,2,0.0
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-5.380663186174919,-32.87807855654698,-1.6311083355437297,4.597,1.721,1.486,-3.069003361497374,car,-0.0479959440101923,-0.0032318375671718,0.0004660619739765,True,False,2,0.0
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-20.816026981188923,-18.981200201730392,-1.0008206972381175,4.175,1.979,1.306,0.0614408634702943,car,0.0,0.0,0.0,True,True,2,5.224
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-11.429889516679552,-41.028637362650834,-1.47674204851157,4.338,1.703,1.519,-3.121448720201439,car,-0.2164219949221108,-0.0491771154765774,-0.0209242551629478,True,True,2,0.0
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-10.233574723140531,-27.527503029389813,-1.2432112582509542,4.328,1.792,1.644,-3.0957492424910127,car,-0.1927161132133481,0.0661248288223102,-0.0159124972179234,True,False,2,0.0
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-17.334045149321803,-11.393105704316923,-0.6901401203257229,4.622,1.683,1.866,-3.13526694104215,car,0.0005096911404383,0.0322758830858753,0.0009132765288749,True,False,2,24.852000000000004
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-10.591663726153833,-33.54456989046024,-1.439424548649479,4.291,1.726,1.587,-3.121448720201439,car,-0.1385267811323859,-0.0034146983060324,0.0135355387405509,True,False,2,0.0
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,5.734879404956517,47.24545230316718,0.1533482980420228,4.744,2.152,2.04,-0.3106089317513757,car,0.2713689950137314,-0.1585144782059244,0.0223850098227146,True,True,2,26.520000000000003
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-10.78979366710549,-24.692250410484142,-1.229031224291869,4.259,1.697,1.599,-3.104629735749614,car,-0.0230842597151225,0.0092618616855473,0.0105505171989806,True,False,2,3.198
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-5.729858880729124,-41.27735338894624,-1.5871236026321869,4.488,1.737,1.639,-3.083292205348498,car,-0.0810570015304336,-0.0161397744706343,-0.0255647348954665,True,True,2,0.0
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-5.233762419327969,-27.20246787855612,-1.5562177715476877,4.355,1.835,1.516,-3.086450073094797,car,-0.1491679340053553,-0.054564403471515,0.0001805741114954,True,False,2,0.0
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,5.132301726565327,-11.771063428126256,-1.3403247182124176,4.544,1.69,1.51,-1.5759364001133247,car,-0.053273401115587,-0.1222036547851099,-0.0168864803457758,True,False,2,46.81
fd8420396768425eabec9bdddf7e64b6,1533201470.448696,-20.574501549327938,-5.80401713059237,-0.6843751640460412,4.326,1.714,1.435,0.0256921241100502,car,0.0002614926901864,0.0569388135117603,0.0517101346119527,True,False,2,22.96
6eb8a3ff0abf4f3a9380a48f2a0b87ef,1533201470.9480178,-7.290561676816338,-8.707062770231076,-1.0985723585783582,4.257,1.726,1.489,0.3435460921745684,car,0.5085126056359861,0.1738707358049848,-0.0009541299685605,True,False,2,56.582
6eb8a3ff0abf4f3a9380a48f2a0b87ef,1533201470.9480178,-16.6302828010771,-8.421659375841038,-0.7829456431229598,4.248,1.71,1.527,-3.1324380843716484,car,0.0,0.0,0.0,True,False,2,33.594
6eb8a3ff0abf4f3a9380a48f2a0b87ef,1533201470.9480178,-1.89306946574906,-5.671055889060875,-1.33461906784331,4.303,1.771,1.407,1.0679297538980932,car,-0.014133349472344,-0.0267655959991523,-0.0005851097421432,True,False,2,75.97800000000001
6eb8a3ff0abf4f3a9380a48f2a0b87ef,1533201470.9480178,-10.24141171712103,-30.750350867586068,-1.36545790828466,4.502,1.732,1.799,-3.1186196866399065,car,-0.1176613840385684,-0.0020880273025628,0.0002826055998179,True,True,2,0.0
